hrs,krate,name
19,0.176073324,Leody Taveras
19,0.272108844,Josh Lowe
19,0.235294118,Triston Casas
19,0.217948718,Canaan Smith-Njigba
19,0.14849921,Curtis Mead
19,0.176331361,Ceddanne Rafaela
19,0.102179837,Cedric Hunter
19,0.252314815,Denzer Guzman
19,0.204193254,Roberto Perez
19,0.250388802,Brady House
19,0.17794971,Yamaico Navarro
19,0.16718507,Nick Noonan
19,0.169491525,Blake DeWitt
19,0.115537849,Henry Alejandro Rodriguez
19,0.20242608,Francisco Pena
19,0.243133266,Michael Saunders
19,0.182474227,John Drennen
19,0.306149733,P.J. Phillips
19,0.29192007,Juan De Leon
19,0.274861878,Robert Perez Jr.
19,0.254817987,Carlos Pacheco
19,0.230645161,Jhon Torres
19,0.306778477,Jose Bonilla
19,0.278901734,Alan Mejia
19,0.21701603,Victor Bericoto
19,0.301794454,Alexander Suarez
19,0.310478655,Isaac Bellony
19,0.284482759,Junior Sanquintin
19,0.134670487,Yeiner Fernandez
19,0.243486074,Jose Fernandez
19,0.186948854,Luis Mendez
19,0.300981461,Yhoangel Aponte
19,0.292715232,Rafael Cruz
19,0.197674419,Lizandro Rodriguez
19,0.165501166,Keiner Delgado
19,0.253746254,Kenni Gomez
19,0.192622951,Edwin Sanchez
19,0.288840263,Oswaldo Osorio
19,0.240691489,Kleimir Lemos
19,0.251582278,Braylin Morel
19,0.254608295,Pablo Guerrero
19,0.158403869,Walker Jenkins
19,0.252144082,Jose Anderson
19,0.290123457,Tony Brown
19,0.189842805,Oscar Tejeda
19,0.229135053,Jonathan Meyer
19,0.21024735,Alberto Odreman
19,0.109862672,Jonathan Quinonez
19,0.337092732,Bladimir Franco
19,0.093078759,Eric Avila
19,0.247669774,Santiago Nessy
19,0.261557178,Kellin Deglan
19,0.338779956,James Baldwin
19,0.232142857,Wilmer Romero
19,0.142259414,Danry Vasquez
19,0.192425793,Sandber Pimentel
19,0.111706197,Juremi Profar
19,0.340523883,Jan Hernandez
19,0.280981595,David Denson
19,0.224137931,Onil Pena
19,0.211961302,Telmito Agustin
19,0.308528428,Marten Gasparini
19,0.198001249,Ruddy Giron
19,0.1210139,Diego Rincones
19,0.292727273,Mc Gregory Contreras
19,0.303306727,Ronny Brito
18,0.076106195,Tomas Telis
18,0.180693069,Jake Marisnick
18,0.147859922,Jesus Aguilar
18,0.188432836,Bryce Harper
18,0.215517241,Christopher Bostick
18,0.225032425,Elier Hernandez
18,0.259202454,Franchy Cordero
18,0.211507293,Dustin Peterson
18,0.128751975,J.P. Crawford
18,0.242530756,Curtis Terry
18,0.156359393,Rene Pinto
18,0.209085614,Eguy Rosario
18,0.204402516,Miguel Vargas
18,0.219907407,Jose Tena
18,0.292808219,Gunnar Henderson
18,0.126550868,Josh Reddick
18,0.135883905,Josmil Pinto
18,0.315696649,Carlos Peguero
18,0.15942029,Evan Longoria
18,0.245283019,Michael McCormick
18,0.245231608,Hector Mercedes
18,0.178818112,Johan Lopez
18,0.17754173,Jesus Valdez
18,0.264755481,Albert Fabian
18,0.144489796,Yohendrick Pinango
18,0.293922652,Jeremy De La Rosa
18,0.224845996,Roberto Campos
18,0.195895522,Jose Salas
18,0.263764405,Axel Sanchez
18,0.285008237,Luis Suisbel
18,0.263598326,Simon Juan
18,0.253275109,Derek Bernard
18,0.243534483,John Cruz
18,0.174351585,Jose Medina
18,0.190133607,Jancel Villarroel
18,0.207105719,Yophery Rodriguez
18,0.262773723,Alfredo Alcantara
18,0.241735537,Eduardo Beltre
18,0.262562814,Thomas Hickman
18,0.24513173,Daniel Garcia
18,0.265060241,Geraldo Rodriguez
18,0.352622061,Daniel Rams
18,0.230445753,Garabez Rosa
18,0.197901049,Roberto Feliz
18,0.256776034,Daniel Falcon
18,0.243562232,Reymond Nunez
18,0.20610687,Delbis Arcila
18,0.18907261,Oliver Zapata
18,0.130984643,Taylor Lindsey
18,0.273291925,Marcus Littlewood
18,0.281718282,Hector Veloz
18,0.238853503,Brandon Martin
18,0.154311649,Kevin Barrios
18,0.269340974,Jiandido Tromp
18,0.252904379,Drew Ward
18,0.283353011,Jairo Beras
18,0.29130967,Francis Martinez
18,0.178326475,Yeyson Yrizarri
18,0.221864952,Rafael Mejia
18,0.34620506,Ismaldo Rodriguez
18,0.282142857,Omar Meregildo
18,0.293888166,Cal Jones
17,0.128487518,Rafael Ortega
17,0.215319149,Nick Castellanos
17,0.244013683,Drew Robinson
17,0.206673843,Orlando Calixte
17,0.131868132,Marco Hernandez
17,0.273550725,Eric Haase
